full_text,case_folding,clean_review,normalization,token,stop_review,stem_review,prepos_text,polarity_score,polarity
Video: BPOM Minta Masyarakat Aktif Awasi Peredaran Skincare Ilegal https://t.co/8HKOByaART,video: bpom minta masyarakat aktif awasi peredaran skincare ilegal https://t.co/8hkobyaart,video bpom minta masyarakat aktif awasi peredaran skincare ilegal ,video bpom meminta masyarakat aktif awasi peredaran skincare ilegal,"['video', 'bpom', 'meminta', 'masyarakat', 'aktif', 'awasi', 'peredaran', 'skincare', 'ilegal']","['video', 'bpom', 'masyarakat', 'aktif', 'awasi', 'peredaran', 'skincare', 'ilegal']",video bpom masyarakat aktif awas edar skincare ilegal,"['video', 'bpom', 'masyarakat', 'aktif', 'awas', 'edar', 'skincare', 'ilegal']",2,1
"@BPOM_RI Yeee masyarakat disuruh ningkatin kesadaran, lah kinerja bapak ibu di bpom skalian gmna sebenernya? Kok masih banyak skincare berbahaya yg dijual bebas di pasaran, rugi bgt bayar pajak klo gini ceritanya","@bpom_ri yeee masyarakat disuruh ningkatin kesadaran, lah kinerja bapak ibu di bpom skalian gmna sebenernya? kok masih banyak skincare berbahaya yg dijual bebas di pasaran, rugi bgt bayar pajak klo gini ceritanya", yee masyarakat disuruh ningkatin kesadaran lah kinerja bapak ibu di bpom skalian gmna sebenernya kok masih banyak skincare berbahaya yg dijual bebas di pasaran rugi bgt bayar pajak klo gini ceritanya,ya masyarakat disuruh ningkatin kesadaran lah kinerja bapak ibu di bpom skalian bagaimana sebenarnya kok masih banyak skincare berbahaya yang dijual bebas di pasaran rugi banget bayar pajak kalo begini ceritanya,"['ya', 'masyarakat', 'disuruh', 'ningkatin', 'kesadaran', 'lah', 'kinerja', 'bapak', 'ibu', 'di', 'bpom', 'skalian', 'bagaimana', 'sebenarnya', 'kok', 'masih', 'banyak', 'skincare', 'berbahaya', 'yang', 'dijual', 'bebas', 'di', 'pasaran', 'rugi', 'banget', 'bayar', 'pajak', 'kalo', 'begini', 'ceritanya']","['masyarakat', 'disuruh', 'ningkatin', 'kesadaran', 'kinerja', 'bpom', 'skalian', 'skincare', 'berbahaya', 'dijual', 'bebas', 'pasaran', 'rugi', 'bayar', 'pajak', 'ceritanya']",masyarakat suruh ningkatin sadar kerja bpom skalian skincare bahaya jual bebas pasar rugi bayar pajak cerita,"['masyarakat', 'suruh', 'ningkatin', 'sadar', 'kerja', 'bpom', 'skalian', 'skincare', 'bahaya', 'jual', 'bebas', 'pasar', 'rugi', 'bayar', 'pajak', 'cerita']",-19,-1
"Untuk memaksimalkan pengawasan produk skincare, Kashuri juga menyilakan masyarakat untuk melaporkan produk yang tidak sesuai ketentuan. “Bisa lewat Halo BPOM atau lewat aplikasi,” ungkapnya. Kashuri juga menegaskan bahwa BPOM akan terus melakukan uji sampling terhadap produk https://t.co/rfslc1o5yH","untuk memaksimalkan pengawasan produk skincare, kashuri juga menyilakan masyarakat untuk melaporkan produk yang tidak sesuai ketentuan. “bisa lewat halo bpom atau lewat aplikasi,” ungkapnya. kashuri juga menegaskan bahwa bpom akan terus melakukan uji sampling terhadap produk https://t.co/rfslc1o5yh",untuk memaksimalkan pengawasan produk skincare kashuri juga menyilakan masyarakat untuk melaporkan produk yang tidak sesuai ketentuan bisa lewat halo bpom atau lewat aplikasi ungkapnya kashuri juga menegaskan bahwa bpom akan terus melakukan uji sampling terhadap produk ,untuk memaksimalkan pengawasan produk skincare kashuri juga menyilakan masyarakat untuk melaporkan produk yang tidak sesuai ketentuan bisa lewat halo bpom atau lewat aplikasi ungkapnya kashuri juga menegaskan bahwa bpom akan terus melakukan uji sampling terhadap produk,"['untuk', 'memaksimalkan', 'pengawasan', 'produk', 'skincare', 'kashuri', 'juga', 'menyilakan', 'masyarakat', 'untuk', 'melaporkan', 'produk', 'yang', 'tidak', 'sesuai', 'ketentuan', 'bisa', 'lewat', 'halo', 'bpom', 'atau', 'lewat', 'aplikasi', 'ungkapnya', 'kashuri', 'juga', 'menegaskan', 'bahwa', 'bpom', 'akan', 'terus', 'melakukan', 'uji', 'sampling', 'terhadap', 'produk']","['memaksimalkan', 'pengawasan', 'produk', 'skincare', 'kashuri', 'menyilakan', 'masyarakat', 'melaporkan', 'produk', 'sesuai', 'ketentuan', 'halo', 'bpom', 'aplikasi', 'kashuri', 'bpom', 'uji', 'sampling', 'produk']",maksimal awas produk skincare kashuri sila masyarakat lapor produk sesuai tentu halo bpom aplikasi kashuri bpom uji sampling produk,"['maksimal', 'awas', 'produk', 'skincare', 'kashuri', 'sila', 'masyarakat', 'lapor', 'produk', 'sesuai', 'tentu', 'halo', 'bpom', 'aplikasi', 'kashuri', 'bpom', 'uji', 'sampling', 'produk']",10,1
"Salah satu topik yang dibahas adalah upaya mewujudkan kolaborasi bersama lintas sektor terkait pembinaan, pengawasan, dan pemberdayaan masyarakat, termasuk penindakan untuk penegakan hukum terhadap peredaran skincare beretiket biru yang tidak sesuai ketentuan.","salah satu topik yang dibahas adalah upaya mewujudkan kolaborasi bersama lintas sektor terkait pembinaan, pengawasan, dan pemberdayaan masyarakat, termasuk penindakan untuk penegakan hukum terhadap peredaran skincare beretiket biru yang tidak sesuai ketentuan.",salah satu topik yang dibahas adalah upaya mewujudkan kolaborasi bersama lintas sektor terkait pembinaan pengawasan dan pemberdayaan masyarakat termasuk penindakan untuk penegakan hukum terhadap peredaran skincare beretiket biru yang tidak sesuai ketentuan ,salah satu topik yang dibahas adalah upaya mewujudkan kolaborasi bersama lintas sektor terkait pembinaan pengawasan dan pemberdayaan masyarakat termasuk penindakan untuk penegakan hukum terhadap peredaran skincare beretiket biru yang tidak sesuai ketentuan,"['salah', 'satu', 'topik', 'yang', 'dibahas', 'adalah', 'upaya', 'mewujudkan', 'kolaborasi', 'bersama', 'lintas', 'sektor', 'terkait', 'pembinaan', 'pengawasan', 'dan', 'pemberdayaan', 'masyarakat', 'termasuk', 'penindakan', 'untuk', 'penegakan', 'hukum', 'terhadap', 'peredaran', 'skincare', 'beretiket', 'biru', 'yang', 'tidak', 'sesuai', 'ketentuan']","['salah', 'topik', 'dibahas', 'upaya', 'mewujudkan', 'kolaborasi', 'lintas', 'sektor', 'terkait', 'pembinaan', 'pengawasan', 'pemberdayaan', 'masyarakat', 'penindakan', 'penegakan', 'hukum', 'peredaran', 'skincare', 'beretiket', 'biru', 'sesuai', 'ketentuan']",salah topik bahas upaya wujud kolaborasi lintas sektor kait bina awas daya masyarakat tindak tega hukum edar skincare etiket biru sesuai tentu,"['salah', 'topik', 'bahas', 'upaya', 'wujud', 'kolaborasi', 'lintas', 'sektor', 'kait', 'bina', 'awas', 'daya', 'masyarakat', 'tindak', 'tega', 'hukum', 'edar', 'skincare', 'etiket', 'biru', 'sesuai', 'tentu']",-4,-1
"Haiii Dear 🥰
Biasanya bumil gaberani pake skincare karna takut berpengaruh terhadap kandungan nya Nahh , tenaaang ya Buuund !
DRWSKINCARE aman , nyaman untuk Ibu Hamil dan Menyusui.
DRW sudah lulus BPOM dan pemakaiannya dibawah pengawasan Dokter serta di dampingi BC https://t.co/1CFSzPRnFj","haiii dear 🥰
biasanya bumil gaberani pake skincare karna takut berpengaruh terhadap kandungan nya nahh , tenaaang ya buuund !
drwskincare aman , nyaman untuk ibu hamil dan menyusui.
drw sudah lulus bpom dan pemakaiannya dibawah pengawasan dokter serta di dampingi bc https://t.co/1cfszprnfj",haii dear biasanya bumil gaberani pake skincare karna takut berpengaruh terhadap kandungan nya nahh tenaang ya buund drwskincare aman nyaman untuk ibu hamil dan menyusui drw sudah lulus bpom dan pemakaiannya dibawah pengawasan dokter serta di dampingi bc ,hai dear biasanya bumil gaberani pakai skincare karena takut berpengaruh terhadap kandungan nya nah tenaang ya buund drwskincare aman nyaman untuk ibu hamil dan menyusui drw sudah lulus bpom dan pemakaiannya dibawah pengawasan dokter serta di dampingi baca,"['hai', 'dear', 'biasanya', 'bumil', 'gaberani', 'pakai', 'skincare', 'karena', 'takut', 'berpengaruh', 'terhadap', 'kandungan', 'nya', 'nah', 'tenaang', 'ya', 'buund', 'drwskincare', 'aman', 'nyaman', 'untuk', 'ibu', 'hamil', 'dan', 'menyusui', 'drw', 'sudah', 'lulus', 'bpom', 'dan', 'pemakaiannya', 'dibawah', 'pengawasan', 'dokter', 'serta', 'di', 'dampingi', 'baca']","['hai', 'dear', 'bumil', 'gaberani', 'pakai', 'skincare', 'takut', 'berpengaruh', 'kandungan', 'tenaang', 'buund', 'drwskincare', 'aman', 'nyaman', 'hamil', 'menyusui', 'drw', 'lulus', 'bpom', 'pemakaiannya', 'dibawah', 'pengawasan', 'dokter', 'dampingi', 'baca']",hai dear bumil gaberani pakai skincare takut pengaruh kandung tenaang buund drwskincare aman nyaman hamil susu drw lulus bpom pakai bawah awas dokter damping baca,"['hai', 'dear', 'bumil', 'gaberani', 'pakai', 'skincare', 'takut', 'pengaruh', 'kandung', 'tenaang', 'buund', 'drwskincare', 'aman', 'nyaman', 'hamil', 'susu', 'drw', 'lulus', 'bpom', 'pakai', 'bawah', 'awas', 'dokter', 'damping', 'baca']",7,1
"Anggota Komisi IX DPR RI, Nurhadi, menyoroti maraknya iklan dan peredaran produk kecantikan seperti skincare yang tidak bersertifikasi atau ilegal. Pengawasan dari Badan Pengawas Obat dan Makanan (BPOM) sebagai pemangku kebijakan pada sektor tersebut dipertanyakan. Legislator https://t.co/PzbcHH9zpu","anggota komisi ix dpr ri, nurhadi, menyoroti maraknya iklan dan peredaran produk kecantikan seperti skincare yang tidak bersertifikasi atau ilegal. pengawasan dari badan pengawas obat dan makanan (bpom) sebagai pemangku kebijakan pada sektor tersebut dipertanyakan. legislator https://t.co/pzbchh9zpu",anggota komisi ix dpr ri nurhadi menyoroti maraknya iklan dan peredaran produk kecantikan seperti skincare yang tidak bersertifikasi atau ilegal pengawasan dari badan pengawas obat dan makanan bpom sebagai pemangku kebijakan pada sektor tersebut dipertanyakan legislator ,anggota komisi ix dpr ri nurhadi menyoroti maraknya iklan dan peredaran produk kecantikan seperti skincare yang tidak bersertifikasi atau ilegal pengawasan dari badan pengawas obat dan makanan bpom sebagai pemangku kebijakan pada sektor tersebut dipertanyakan legislator,"['anggota', 'komisi', 'ix', 'dpr', 'ri', 'nurhadi', 'menyoroti', 'maraknya', 'iklan', 'dan', 'peredaran', 'produk', 'kecantikan', 'seperti', 'skincare', 'yang', 'tidak', 'bersertifikasi', 'atau', 'ilegal', 'pengawasan', 'dari', 'badan', 'pengawas', 'obat', 'dan', 'makanan', 'bpom', 'sebagai', 'pemangku', 'kebijakan', 'pada', 'sektor', 'tersebut', 'dipertanyakan', 'legislator']","['anggota', 'komisi', 'ix', 'dpr', 'ri', 'nurhadi', 'menyoroti', 'maraknya', 'iklan', 'peredaran', 'produk', 'kecantikan', 'skincare', 'bersertifikasi', 'ilegal', 'pengawasan', 'badan', 'pengawas', 'obat', 'makanan', 'bpom', 'pemangku', 'kebijakan', 'sektor', 'legislator']",anggota komisi ix dpr ri nurhadi sorot marak iklan edar produk cantik skincare sertifikasi ilegal awas badan awas obat makan bpom mang bijak sektor legislator,"['anggota', 'komisi', 'ix', 'dpr', 'ri', 'nurhadi', 'sorot', 'marak', 'iklan', 'edar', 'produk', 'cantik', 'skincare', 'sertifikasi', 'ilegal', 'awas', 'badan', 'awas', 'obat', 'makan', 'bpom', 'mang', 'bijak', 'sektor', 'legislator']",-2,-1
"Marak Skincare Ilegal, Nurhadi Pertanyakan Pengawasan BPOM https://t.co/abcrN02zkZ","marak skincare ilegal, nurhadi pertanyakan pengawasan bpom https://t.co/abcrn02zkz",marak skincare ilegal nurhadi pertanyakan pengawasan bpom ,marak skincare ilegal nurhadi pertanyakan pengawasan bpom,"['marak', 'skincare', 'ilegal', 'nurhadi', 'pertanyakan', 'pengawasan', 'bpom']","['marak', 'skincare', 'ilegal', 'nurhadi', 'pengawasan', 'bpom']",marak skincare ilegal nurhadi awas bpom,"['marak', 'skincare', 'ilegal', 'nurhadi', 'awas', 'bpom']",1,1
"Pabrik skincare ilegal yang beroperasi di sebuah rumah mewah di Ciputat Timur, Tangerang Selatan (Tangsel) digerebek Badan Pengawasan Obat dan Makanan Republik Indonesia (BPOM RI), Rabu (19/3/2025). https://t.co/UJdHLPqVLk https://t.co/IjeJ1BDG2P","pabrik skincare ilegal yang beroperasi di sebuah rumah mewah di ciputat timur, tangerang selatan (tangsel) digerebek badan pengawasan obat dan makanan republik indonesia (bpom ri), rabu (19/3/2025). https://t.co/ujdhlpqvlk https://t.co/ijej1bdg2p",pabrik skincare ilegal yang beroperasi di sebuah rumah mewah di ciputat timur tangerang selatan tangsel digerebek badan pengawasan obat dan makanan republik indonesia bpom ri rabu ,pabrik skincare ilegal yang beroperasi di sebuah rumah mewah di ciputat timur tangerang selatan tangsel digerebek badan pengawasan obat dan makanan republik indonesia bpom ri rabu,"['pabrik', 'skincare', 'ilegal', 'yang', 'beroperasi', 'di', 'sebuah', 'rumah', 'mewah', 'di', 'ciputat', 'timur', 'tangerang', 'selatan', 'tangsel', 'digerebek', 'badan', 'pengawasan', 'obat', 'dan', 'makanan', 'republik', 'indonesia', 'bpom', 'ri', 'rabu']","['pabrik', 'skincare', 'ilegal', 'beroperasi', 'rumah', 'mewah', 'ciputat', 'timur', 'tangerang', 'selatan', 'tangsel', 'digerebek', 'badan', 'pengawasan', 'obat', 'makanan', 'republik', 'indonesia', 'bpom', 'ri', 'rabu']",pabrik skincare ilegal operasi rumah mewah ciputat timur tangerang selatan tangsel gerebek badan awas obat makan republik indonesia bpom ri rabu,"['pabrik', 'skincare', 'ilegal', 'operasi', 'rumah', 'mewah', 'ciputat', 'timur', 'tangerang', 'selatan', 'tangsel', 'gerebek', 'badan', 'awas', 'obat', 'makan', 'republik', 'indonesia', 'bpom', 'ri', 'rabu']",2,1
"@leewantb1n @dhemit_is_back @Kab_Esrots BPOM aja kecolongan skincare mercury, hq sama obat penyebab gagal ginjal. Pengawasan skincare. Gw mah dukung semua masuk penjara gak cuman NM, lebih-lebih brand owner skincare over claims hobi flexing.","@leewantb1n @dhemit_is_back @kab_esrots bpom aja kecolongan skincare mercury, hq sama obat penyebab gagal ginjal. pengawasan skincare. gw mah dukung semua masuk penjara gak cuman nm, lebih-lebih brand owner skincare over claims hobi flexing.", bpom aja kecolongan skincare mercury hq sama obat penyebab gagal ginjal pengawasan skincare gw mah dukung semua masuk penjara gak cuman nm lebih brand owner skincare over claims hobi flexing ,bpom saja kecolongan skincare mercury hq sama obat penyebab gagal ginjal pengawasan skincare gue mah dukung semua masuk penjara enggak cuman nama lebih brand owner skincare over claims hobi flexing,"['bpom', 'saja', 'kecolongan', 'skincare', 'mercury', 'hq', 'sama', 'obat', 'penyebab', 'gagal', 'ginjal', 'pengawasan', 'skincare', 'gue', 'mah', 'dukung', 'semua', 'masuk', 'penjara', 'enggak', 'cuman', 'nama', 'lebih', 'brand', 'owner', 'skincare', 'over', 'claims', 'hobi', 'flexing']","['bpom', 'kecolongan', 'skincare', 'mercury', 'hq', 'obat', 'penyebab', 'gagal', 'ginjal', 'pengawasan', 'skincare', 'gue', 'mah', 'dukung', 'masuk', 'penjara', 'cuman', 'nama', 'brand', 'owner', 'skincare', 'over', 'claims', 'hobi', 'flexing']",bpom colong skincare mercury hq obat sebab gagal ginjal awas skincare gue mah dukung masuk penjara cuman nama brand owner skincare over claims hobi flexing,"['bpom', 'colong', 'skincare', 'mercury', 'hq', 'obat', 'sebab', 'gagal', 'ginjal', 'awas', 'skincare', 'gue', 'mah', 'dukung', 'masuk', 'penjara', 'cuman', 'nama', 'brand', 'owner', 'skincare', 'over', 'claims', 'hobi', 'flexing']",-13,-1
"BPOM menarik puluhan merek kosmetik ilegal dari pasaran berdasarkan hasil pengawasan pada 10-18 Februari lalu. Berikut daftar lengkap kosmetik yang ditarik BPOM, selengkapnya di postingan berikut! #BPOM #Kosmetik #KosmetikIlegal #Skincare #Asumsico https://t.co/M0Soa7H9Wx","bpom menarik puluhan merek kosmetik ilegal dari pasaran berdasarkan hasil pengawasan pada 10-18 februari lalu. berikut daftar lengkap kosmetik yang ditarik bpom, selengkapnya di postingan berikut! #bpom #kosmetik #kosmetikilegal #skincare #asumsico https://t.co/m0soa7h9wx",bpom menarik puluhan merek kosmetik ilegal dari pasaran berdasarkan hasil pengawasan pada februari lalu berikut daftar lengkap kosmetik yang ditarik bpom selengkapnya di postingan berikut ,bpom menarik puluhan merek kosmetik ilegal dari pasaran berdasarkan hasil pengawasan pada februari lalu berikut daftar lengkap kosmetik yang ditarik bpom selengkapnya di postingan berikut,"['bpom', 'menarik', 'puluhan', 'merek', 'kosmetik', 'ilegal', 'dari', 'pasaran', 'berdasarkan', 'hasil', 'pengawasan', 'pada', 'februari', 'lalu', 'berikut', 'daftar', 'lengkap', 'kosmetik', 'yang', 'ditarik', 'bpom', 'selengkapnya', 'di', 'postingan', 'berikut']","['bpom', 'menarik', 'puluhan', 'merek', 'kosmetik', 'ilegal', 'pasaran', 'berdasarkan', 'hasil', 'pengawasan', 'februari', 'daftar', 'lengkap', 'kosmetik', 'ditarik', 'bpom', 'selengkapnya', 'postingan']",bpom tarik puluh merek kosmetik ilegal pasar dasar hasil awas februari daftar lengkap kosmetik tarik bpom lengkap postingan,"['bpom', 'tarik', 'puluh', 'merek', 'kosmetik', 'ilegal', 'pasar', 'dasar', 'hasil', 'awas', 'februari', 'daftar', 'lengkap', 'kosmetik', 'tarik', 'bpom', 'lengkap', 'postingan']",4,1
